Alabama,Accountants and Auditors,31.55888889
Alabama,Administrative Services Managers,47.792
Alabama,Amusement and Recreation Attendants,9.96
Alabama,Architectural and Civil Drafters,25.42666667
Alabama,Architecture and Engineering Occupations,38.25466667
Alabama,"Arts, Design, Entertainment, Sports, and Media Occupations",21.15444444
Alabama,"Assemblers and fabricators, all other, including team assemblers",15.6325
Alabama,Automotive Body and Related Repairers,20.595
Alabama,Automotive Service Technicians and Mechanics,19.85428571
Alabama,Bakers,13.405
Alabama,Bartenders,9.8575
Alabama,Bill and Account Collectors,17.366
Alabama,Billing and Posting Clerks,17.04571429
Alabama,"Bookkeeping, Accounting, and Auditing Clerks",18.64272727
Alabama,Brokerage Clerks,21.152
Alabama,Building and Grounds Cleaning and Maintenance Occupations,12.06941176
Alabama,"Bus Drivers, School or Special Client",9.218
Alabama,Bus and Truck Mechanics and Diesel Engine Specialists,20.84571429
Alabama,"Business Operations Specialists, All Other",39.048
Alabama,Business and Financial Operations Occupations,32.57941176
Alabama,Buyers and Purchasing Agents,29.71666667
Alabama,Carpenters,17.958
Alabama,Cashiers,10.13642857
Alabama,"Child, Family, and School Social Workers",19.58
Alabama,Civil Engineering Technicians,20.87
Alabama,Civil Engineers,37.052
Alabama,"Claims Adjusters, Examiners, and Investigators",26.542
Alabama,Clinical Laboratory Technologists and Technicians,22.04
Alabama,"Combined Food Preparation and Serving Workers, Including Fast Food",9.045
Alabama,Community Health Workers,20.99666667
Alabama,Community and Social Service Occupations,22.50857143
Alabama,Compliance Officers,31.4
Alabama,Computer Network Architects,50.26666667
Alabama,Computer Network Support Specialists,28.21333333
Alabama,"Computer Occupations, All Other",32.36
Alabama,Computer Programmers,41.91666667
Alabama,Computer Systems Analysts,41.494
Alabama,Computer and Information Systems Managers,60.72
Alabama,Computer and Mathematical Occupations,41.06692308
Alabama,Construction Laborers,16.69857143
Alabama,Construction Managers,43.83
Alabama,Construction and Extraction Occupations,20.38388889
Alabama,"Control and Valve Installers and Repairers, Except Mechanical Door",21.39
Alabama,"Cooks, Institution and Cafeteria",9.895
Alabama,"Cooks, Restaurant",11.708
Alabama,"Cooks, Short Order",10.062
Alabama,Correctional Officers and Jailers,16.69285714
Alabama,Cost Estimators,28.814
Alabama,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",9.59
Alabama,Counter and Rental Clerks,12.5875
Alabama,"Court, Municipal, and License Clerks",15.37
Alabama,Credit Counselors,23.16
Alabama,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",19.36
Alabama,Customer Service Representatives,16.40833333
Alabama,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",15.03333333
Alabama,Data Entry Keyers,13.395
Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,9.33
Alabama,Dishwashers,9.54
Alabama,"Dispatchers, Except Police, Fire, and Ambulance",18.89
Alabama,"Drafters, All Other",21.02
Alabama,Driver/Sales Workers,15.5275
Alabama,"Education, Training, and Library Occupations",22.70277778
Alabama,"Educational, Guidance, School, and Vocational Counselors",27.456
Alabama,Electrical Engineers,47.08
Alabama,Electrical Power-Line Installers and Repairers,30.118
Alabama,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",27.785
Alabama,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",15.87
Alabama,Electricians,23.535
Alabama,"Eligibility Interviewers, Government Programs",18.47
Alabama,Emergency Medical Technicians and Paramedics,14.62
Alabama,"Engineers, All Other",46.448
Alabama,Excavating and Loading Machine and Dragline Operators,20.39666667
Alabama,Executive Secretaries and Executive Administrative Assistants,28.396
Alabama,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.16
Alabama,Farm Equipment Mechanics and Service Technicians,21.81
Alabama,File Clerks,12.31666667
Alabama,Financial Examiners,27.57666667
Alabama,Financial Managers,61.84
Alabama,Firefighters,19.04
Alabama,First-Line Supervisors of Construction Trades and Extraction Workers,29.06
Alabama,First-Line Supervisors of Fire Fighting and Prevention Workers,30.465
Alabama,First-Line Supervisors of Food Preparation and Serving Workers,15.43
Alabama,"First-Line Supervisors of Mechanics, Installers, and Repairers",29.094
Alabama,First-Line Supervisors of Office and Administrative Support Workers,25.72666667
Alabama,First-Line Supervisors of Police and Detectives,31.765
Alabama,First-Line Supervisors of Production and Operating Workers,29.19333333
Alabama,First-Line Supervisors of Retail Sales Workers,21.09625
Alabama,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling",25.91
Alabama,Fitness Trainers and Aerobics Instructors,16.1525
Alabama,Food Preparation Workers,10.37
Alabama,Food Preparation and Serving Related Occupations,10.73157895
Alabama,"Food Processing Workers, All Other",13.81333333
Alabama,"Food Servers, Nonrestaurant",10.36
Alabama,Food Service Managers,28.15666667
Alabama,General and Operations Managers,65.11
Alabama,Graphic Designers,22.43666667
Alabama,"Hairdressers, Hairstylists, and Cosmetologists",11.23
Alabama,"Health Technologists and Technicians, All Other",21.47
Alabama,Healthcare Practitioners and Technical Occupations,26.089
Alabama,Healthcare Support Occupations,13.04352941
Alabama,"Healthcare Support Workers, All Other",13.325
Alabama,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",19.832
Alabama,Heavy and Tractor-Trailer Truck Drivers,20.13333333
Alabama,"Helpers, Construction Trades, All Other",13.49
Alabama,"Helpers--Installation, Maintenance, and Repair Workers",12.695
Alabama,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",13.03333333
Alabama,Helpers--Production Workers,12.45
Alabama,Highway Maintenance Workers,14.27666667
